,names,Price,lat,lon,random
2040,Sobha Daffodil,540.0,12.9013076,77.65341699999998,913
2041,Sobha Daffodil,562.3000000000002,12.9013076,77.65341699999998,858
2042,Sobha Daffodil,562.3000000000002,12.9013076,77.65341699999998,722
2043,Sobha Daisy,1000.0,12.9282006,77.66806340000002,110
2044,Sobha Daisy,1650.0,12.9282006,77.66806340000002,-408
2045,Century Artizan Phase II,1000.0,13.129355,77.59504100000002,-548
2046,Century Artizan Phase II,1180.0,13.129355,77.59504100000002,988
2047,RJR Patel Residency,111.3,12.93844,77.7431417,180
2048,RJR Patel Residency,300.0,12.93844,77.7431417,-690
2049,RJR Patel Residency,279.3,12.93844,77.7431417,-184
2050,Veohm Cedar Woods,1090.0,13.0591532,77.64304399999997,-407
2051,Veohm Cedar Woods,2510.0,13.0591532,77.64304399999997,-661
2052,Akruthi Spring Woods,450.0,12.985451,77.4864,773
2053,Akruthi Spring Woods,1000.0,12.985451,77.4864,915
2054,Akruthi Spring Woods,5000.0,12.985451,77.4864,-161
2055,Mana Candela,500.0,12.8915171,77.71009699999998,310
2056,Mana Candela,350.0,12.8915171,77.71009699999998,458
2057,Mana Candela,635.0,12.8915171,77.71009699999998,-88
2058,Mana Candela,674.0,12.8915171,77.71009699999998,655
2059,Mana Candela,930.0,12.8915171,77.71009699999998,-837
2060,Shapoorji Pallonji ParkWest Mahogany,1180.0,12.963803,77.5610241,632
2061,Shapoorji Pallonji ParkWest Mahogany,1180.0,12.963803,77.5610241,481
2062,Shapoorji Pallonji ParkWest Mahogany,3500.0,12.963803,77.5610241,-781
2063,Shapoorji Pallonji ParkWest Mahogany,3500.0,12.963803,77.5610241,-610
2064,Shapoorji Pallonji ParkWest Mahogany,4780.0,12.963803,77.5610241,993
2065,Shapoorji Pallonji ParkWest Mahogany,4780.0,12.963803,77.5610241,-700
2066,Shilpa Dacha,624.0,12.915819,77.66976079999998,-408
2067,Shilpa Dacha,737.1999999999998,12.915819,77.66976079999998,551
2068,RBD Stillwaters,490.0,12.8945651,77.6632973,-381
2069,RBD Stillwaters,567.3,12.8945651,77.6632973,-348
2070,RBD Stillwaters,586.7,12.8945651,77.6632973,-718
2071,The Magic Faraway Tree,727.7,12.859542,77.52995440000002,721
2072,The Magic Faraway Tree,1090.0,12.859542,77.52995440000002,-424
2073,The Magic Faraway Tree,2500.0,12.859542,77.52995440000002,422
2074,The Magic Faraway Tree,1850.0,12.859542,77.52995440000002,606
2075,The Magic Faraway Tree,3460.0,12.859542,77.52995440000002,-115
2076,Prestige Royal Garden 3,900.0,13.1395085,77.57063950000001,-490
2077,Prestige Royal Garden 3,360.0,13.1395085,77.57063950000001,410
2078,Prestige Royal Garden 3,562.5,13.1395085,77.57063950000001,-198
2079,Prestige Glenwood,320.0,13.0767319,77.73412040000002,433
2080,Prestige Glenwood,320.0,13.0767319,77.73412040000002,-357
2081,Prestige Glenwood,510.0,13.0767319,77.73412040000002,-150
2082,Prestige Glenwood,510.0,13.0767319,77.73412040000002,536
2083,Mahaveer Promenade,880.0,13.0077592,77.7399015,-947
2084,Mahaveer Promenade,1500.0,13.0077592,77.7399015,317
2085,Mahaveer Promenade,1850.0,13.0077592,77.7399015,-990
2086,Mahaveer Promenade,1000.0,13.0077592,77.7399015,244
2087,Aratt Cityscapes Villa,1000.0,13.0611983,77.75757899999998,310
2088,Aratt Cityscapes Villa,1000.0,13.0611983,77.75757899999998,263
2089,Aratt Cityscapes Villa,940.0,13.0611983,77.75757899999998,-747
2090,Aratt Cityscapes Villa,940.0,13.0611983,77.75757899999998,343
2091,Gajanana Sumuk,1350.0,12.9917127,77.7185076,-185
2092,Sanvi Sunrise,737.1999999999998,12.9732444,77.677601,304
2093,Sanvi Sunrise,903.8,12.9732444,77.677601,-934
2094,Columbia Celestia,976.5,12.895343400000002,77.5795256,309
2095,Columbia Celestia,1230.0,12.895343400000002,77.5795256,-596
2096,Sobha Jasmine,452.0,12.926346699999998,77.66806340000002,70
2097,Sobha Jasmine,492.00000000000006,12.926346699999998,77.66806340000002,198
2098,Relizant Royale,444.6,12.957703,77.5758522,-31
2099,Jeevan Pristine,2160.0,12.9715987,77.5945627,-432
2100,Skanda Nirvana,11000.0,12.9340795,77.7059496,-510
2101,Skanda Nirvana,13950.0,12.9340795,77.7059496,-496
2102,Shriram Chirping Woods Villament,350.0,12.9090034,77.6688901,-380
2103,Sri Bhagwan Elite,962.5,12.8730771,77.64417540000002,-931
2104,Sri Bhagwan Elite,1480.0,12.8730771,77.64417540000002,34
2105,Sri Bhagwan Elite,1160.0,12.8730771,77.64417540000002,710
2106,Sumadhura Silver Ripples,1250.0,12.9691977,77.7388622,-126
2107,Sumadhura Silver Ripples,1000.0,12.9691977,77.7388622,435
2108,Sumadhura Silver Ripples,2500.0,12.9691977,77.7388622,-391
2109,Sumadhura Silver Ripples,2750.0,12.9691977,77.7388622,-100
2110,Sumadhura Silver Ripples,2220.0,12.9691977,77.7388622,975
2111,Sumadhura Silver Ripples,2680.0,12.9691977,77.7388622,-972
2112,Golden Grand,522.1,13.0268946,77.54646059999997,-363
2113,Golden Grand,642.0,13.0268946,77.54646059999997,224
2114,Prestige Sunrise Park Norwood,514.8,12.8345846,77.6635615,-612
2115,Prestige Sunrise Park Norwood,596.3000000000002,12.8345846,77.6635615,321
2116,Prestige Sunrise Park Norwood,883.7,12.8345846,77.6635615,-827
2117,Prestige Sunrise Park Norwood,1030.0,12.8345846,77.6635615,779
2118,Prestige Sunrise Park Norwood,816.2,12.8345846,77.6635615,932
2119,Avani Gardens,1000.0,13.0860725,77.6064885,949
2120,Avani Gardens,1000.0,13.0860725,77.6064885,495
2121,Avani Gardens,445.0,13.0860725,77.6064885,680
2122,Avani Gardens,445.0,13.0860725,77.6064885,-320
2123,Avani Gardens,600.1,13.0860725,77.6064885,147
2124,Avani Gardens,600.1,13.0860725,77.6064885,696
2125,Avani Gardens,850.0,13.0860725,77.6064885,184
2126,Avani Gardens,850.0,13.0860725,77.6064885,-669
2127,Avani Gardens,824.5,13.0860725,77.6064885,125
2128,Avani Gardens,824.5,13.0860725,77.6064885,-470
2129,Avani Gardens,1200.0,13.0860725,77.6064885,-252
2130,Avani Gardens,1200.0,13.0860725,77.6064885,-149
2131,Ozone Urbana Township,1000.0,13.2036001,77.6645319,-472
2132,Ozone Urbana Township,1140.0,13.2036001,77.6645319,775
2133,VARS Parkwood,967.5,12.9156691,77.6909634,86
2134,VARS Parkwood,967.5,12.9156691,77.6909634,-649
2135,Aratt Cityscapes Rowhouse,282.4,13.0611983,77.75757899999998,713
2136,Viho Hill View,720.0,12.8904203,77.51483370000003,-578
2137,Viho Hill View,920.0,12.8904203,77.51483370000003,463
2138,Veracious Vani Vilas,748.1999999999998,13.1220505,77.57686009999998,751
2139,Veracious Vani Vilas,748.1999999999998,13.1220505,77.57686009999998,-855
2140,Veracious Vani Vilas,899.0,13.1220505,77.57686009999998,-25
2141,Veracious Vani Vilas,899.0,13.1220505,77.57686009999998,348
2142,Definer Hi-Life,830.0,13.0361409,77.69325239999998,-513
2143,Definer Hi-Life,942.5,13.0361409,77.69325239999998,405
2144,Definer Hi-Life,1630.0,13.0361409,77.69325239999998,790
2145,Vaishnavi Nakshatra,518.6999999999998,13.0254031,77.54917760000002,648
2146,Vaishnavi Nakshatra,667.8000000000002,13.0254031,77.54917760000002,-957
2147,Maangalya Prosper Apartment,607.1999999999998,12.8652341,77.55763470000002,-820
2148,Maangalya Prosper Apartment,844.9,12.8652341,77.55763470000002,202
2149,Adithya Garden ,1100.0,12.8645579,77.65946650000002,730
2150,Adithya Garden ,1100.0,12.8645579,77.65946650000002,-4
2151,Adithya Garden ,1550.0,12.8645579,77.65946650000002,-775
2152,Adithya Garden ,1550.0,12.8645579,77.65946650000002,-495
2153,Velpula Pride,194.8,13.0863313,77.6028616,618
2154,Velpula Pride,885.0,13.0863313,77.6028616,698
2155,Sobha Marvella,479.7,12.926783300000002,77.6726791,-863
2156,Sobha Marvella,702.0000000000001,12.926783300000002,77.6726791,452
2157,Concorde Tech Turf,1960.0,12.8318141,77.6551811,-99
2158,Concorde Tech Turf,3480.0,12.8318141,77.6551811,646
2159,Anand Somu Pristine,800.0,12.8588873,77.56676689999998,107
2160,Anand Somu Pristine,800.0,12.8588873,77.56676689999998,648
2161,Anand Somu Pristine,860.0,12.8588873,77.56676689999998,45
2162,Anand Somu Pristine,860.0,12.8588873,77.56676689999998,640
2163,Dharanis Prakruthi Park,457.6,12.8461858,77.82759890000001,814
2164,Dharanis Prakruthi Park,457.6,12.8461858,77.82759890000001,-458
2165,Dharanis Prakruthi Park,548.6,12.8461858,77.82759890000001,841
2166,Dharanis Prakruthi Park,548.6,12.8461858,77.82759890000001,214
2167,Shriram Signia,2970.0,12.839116699999998,77.6563997,371
2168,Shriram Signia,3700.0,12.839116699999998,77.6563997,775
2169,Shriram Signia,1000.0,12.839116699999998,77.6563997,1
2170,Shriram Signia,1000.0,12.839116699999998,77.6563997,222
2171,Shriram Signia,1000.0,12.839116699999998,77.6563997,215
2172,DivyaSree 77 Place,626.5,12.9486621,77.69325239999998,486
2173,DivyaSree 77 Place,789.5,12.9486621,77.69325239999998,-385
2174,Splendid Skylines,397.3,12.874512800000002,77.6517073,-226
2175,Splendid Skylines,650.0,12.874512800000002,77.6517073,-819
2176,Splendid Skylines,661.4,12.874512800000002,77.6517073,-290
2177,Assetz Lifestyle,850.0,12.8853283,77.7047401,922
2178,Assetz Lifestyle,850.0,12.8853283,77.7047401,-311
2179,Assetz Lifestyle,1820.0,12.8853283,77.7047401,212
2180,Kolte Patil Raaga,600.0,13.0956915,77.6478017,-643
2181,Kolte Patil Raaga,650.0,13.0956915,77.6478017,812
2182,SJR WaterMark,850.0,12.9132624,77.6704345,-821
2183,SJR WaterMark,1340.0,12.9132624,77.6704345,-921
2184,Prestige Spencer Heights,4200.0,12.9956569,77.6104792,219
2185,MN Guru Gokulam,495.3,13.0927842,77.6324403,925
2186,MN Guru Gokulam,610.3000000000002,13.0927842,77.6324403,-244
2187,Asrithas Grand Living,500.0,12.938386,77.61780300000002,164
2188,Asrithas Grand Living,446.4,12.938386,77.61780300000002,-85
2189,Jeevan Grandeur,524.5999999999998,13.0053452,77.74827509999999,-985
2190,Jeevan Grandeur,720.1999999999998,13.0053452,77.74827509999999,374
2191,Puravankara Purva Riviera,8600.0,12.9758193,77.5570922,336
2192,Puravankara Purva Riviera,1850.0,12.9758193,77.5570922,-394
2193,Puravankara Purva Riviera,2930.0,12.9758193,77.5570922,-418
2194,Purva Venezia,790.0,13.0972391,77.57029750000002,746
2195,Purva Venezia,1250.0,13.0972391,77.57029750000002,293
2196,Renaissance Nature Walk,672.0,13.004679800000002,77.71826039999998,254
2197,Puravankara Purva Fountain Square,1150.0,12.9748291,77.61898699999998,-103
2198,Puravankara Purva Fountain Square,1900.0,12.9748291,77.61898699999998,480
2199,Puravankara Purva Fountain Square,1000.0,12.9748291,77.61898699999998,-341
2200,Odions The Woods of East Phase 2,2200.0,12.8913922,77.69372369999998,-326
2201,Nitesh Hyde Park,690.0,12.8717726,77.59793520000002,776
2202,Nitesh Hyde Park,1170.0,12.8717726,77.59793520000002,-889
2203,Nitesh Hyde Park,390.0,12.8717726,77.59793520000002,269
2204,Nitesh Hyde Park,323.2999999999999,12.8717726,77.59793520000002,743
2205,Thrive Muses Abode,574.0,13.0261844,77.62669679999998,-828
2206,Thrive Muses Abode,778.5999999999998,13.0261844,77.62669679999998,-845
2207,Vedant Vayun,324.0,12.878767300000002,77.6376676,-432
2208,Brigade Millennium,1710.0,12.891805,77.58245529999998,-309
2209,Brigade Millennium,1000.0,12.891805,77.58245529999998,-65
2210,Mantri Flora,20000.0,12.9183563,77.6650713,185
2211,Mantri Flora,2200.0,12.9183563,77.6650713,399
2212,Sobha Tulip,977.4,12.8984206,77.5855194,-307
2213,Sobha Tulip,2000.0,12.8984206,77.5855194,121
2214,Sobha Tulip,2800.0,12.8984206,77.5855194,320
2215,Prabhavathi Divine,245.0,12.8787211,77.61106590000001,-462
2216,Prabhavathi Divine,400.0,12.8787211,77.61106590000001,501
2217,Prabhavathi Divine,386.4,12.8787211,77.61106590000001,473
2218,GM Infinite E City Town Phase I,1000.0,12.8192308,77.66407,-619
2219,GM Infinite E City Town Phase I,630.0,12.8192308,77.66407,-242
2220,GM Infinite E City Town Phase I,740.0,12.8192308,77.66407,-726
2221,Vivansaa Aurigaa,676.5000000000001,12.893705699999998,77.7681863,433
2222,Vivansaa Aurigaa,514.0,12.893705699999998,77.7681863,-797
2223,Sobha Lifestyle Legacy,850.0,13.231919,77.674463,-456
2224,Sobha Lifestyle Legacy,1170.0,13.231919,77.674463,828
2225,Prestige Sunrise Park Brichwood,1000.0,12.8321675,77.66327220000002,-101
2226,Prestige Sunrise Park Brichwood,3930.0,12.8321675,77.66327220000002,802
2227,Prestige Sunrise Park Brichwood,7020.0,12.8321675,77.66327220000002,-161
2228,Silverwood Regency,1000.0,12.9111022,77.6777582,514
2229,Silverwood Regency,9510.0,12.9111022,77.6777582,898
2230,Silverwood Regency,1000.0,12.9111022,77.6777582,-273
2231,Silverwood Regency,6250.0,12.9111022,77.6777582,664
2232,Prestige Ozone,225.0,12.9590509,77.7494998,-259
2233,Prestige Ozone,504.4,12.9590509,77.7494998,-196
2234,Prestige Ozone,675.8,12.9590509,77.7494998,-923
2235,Century Saras,750.0,13.1128005,77.57010129999998,-296
2236,Century Saras,870.1999999999998,13.1128005,77.57010129999998,65
2237,Greystone Mirror On Water,586.9,12.8943569,77.6618761,-838
2238,Greystone Mirror On Water,800.0,12.8943569,77.6618761,947
2239,Greystone Mirror On Water,805.9000000000002,12.8943569,77.6618761,545
2240,Greystone Mirror On Water,911.0,12.8943569,77.6618761,507
2241,Raynal Gardens,410.0,12.9767323,77.5148708,-567
2242,Raynal Gardens,555.3000000000002,12.9767323,77.5148708,-795
2243,Raynal Gardens,860.0,12.9767323,77.5148708,371
2244,Raynal Gardens,706.8000000000002,12.9767323,77.5148708,-282
2245,Raynal Gardens,990.0,12.9767323,77.5148708,-377
2246,Celebrity Square,840.0,12.828163,77.78602479999998,-773
2247,Plama Heights,1070.0,13.0334447,77.6374762,-195
2248,Plama Heights,1500.0,13.0334447,77.6374762,-881
2249,Raheja Residency,1270.0,12.928366,77.63177590000002,952
2250,Raheja Residency,2200.0,12.928366,77.63177590000002,-306
2251,GM Global Techies Town Tower 03 C,980.2,12.8227035,77.66084110000001,485
2252,GM Global Techies Town Tower 03 C,1120.0,12.8227035,77.66084110000001,598
2253,GM Global Techies Town Tower 03 C,1130.0,12.8227035,77.66084110000001,18
2254,SNN Raj Serenity Phase II,580.0,12.852932,77.67846899999998,454
2255,SNN Raj Serenity Phase II,750.0,12.852932,77.67846899999998,942
2256,Aahika Apartments,1770.0,12.9036263,77.606235,839
2257,Salarpuria Sattva Serene Life,895.0,13.1883652,77.65808760000002,532
2258,Salarpuria Sattva Serene Life,1590.0,13.1883652,77.65808760000002,-310
2259,Salarpuria Sattva Serene Life,2550.0,13.1883652,77.65808760000002,-608
2260,GM Global Techies Town Tower 01 A,468.0,12.8227035,77.66084110000001,-833
2261,GM Global Techies Town Tower 01 A,600.1,12.8227035,77.66084110000001,-727
2262,GM Global Techies Town Tower 01 A,751.5,12.8227035,77.66084110000001,-344
2263,Trifecta Joli,471.5,12.8921388,77.7095138,-232
2264,Trifecta Joli,717.5,12.8921388,77.7095138,-701
2265,Arvind Sporcia,423.4,13.0624992,77.62152929999998,104
2266,Arvind Sporcia,467.8,13.0624992,77.62152929999998,-79
