,Price,lat,lon,geometry,random
538,1200.0,12.8904203,77.51483370000001,POINT (77.51483370000001 12.8904203),-2
539,2000.0,12.8904203,77.51483370000001,POINT (77.51483370000001 12.8904203),-9
540,2640.0,12.8904203,77.51483370000001,POINT (77.51483370000001 12.8904203),9
541,936.0,12.865656199999998,77.69006399999998,POINT (77.69006399999998 12.8656562),9
542,1310.0,13.102545,77.623708,POINT (77.62370799999999 13.102545),-5
543,2510.0,13.102545,77.623708,POINT (77.62370799999999 13.102545),7
544,3140.0,13.102545,77.623708,POINT (77.62370799999999 13.102545),8
545,990.0,12.884884300000001,77.6819939,POINT (77.68199389999999 12.8848843),1
546,1250.0,12.884884300000001,77.6819939,POINT (77.68199389999999 12.8848843),2
547,1180.0,12.833466,77.669921,POINT (77.669921 12.833466),0
548,279.7,12.833466,77.669921,POINT (77.669921 12.833466),-10
549,491.70000000000005,12.833466,77.669921,POINT (77.669921 12.833466),3
550,524.8,12.833466,77.669921,POINT (77.669921 12.833466),-6
551,625.6,12.833466,77.669921,POINT (77.669921 12.833466),9
552,1700.0,12.833466,77.669921,POINT (77.669921 12.833466),-6
553,2220.0,12.833466,77.669921,POINT (77.669921 12.833466),-3
554,4520.0,13.157395300000001,77.6016927,POINT (77.6016927 13.1573953),-1
555,7260.0,13.157395300000001,77.6016927,POINT (77.6016927 13.1573953),3
556,,12.8640688,77.6979503,POINT (77.6979503 12.8640688),-8
557,979.2,12.8640688,77.6979503,POINT (77.6979503 12.8640688),0
558,2330.0,12.8554461,77.80967700000001,POINT (77.80967700000001 12.8554461),6
559,2330.0,12.8554461,77.80967700000001,POINT (77.80967700000001 12.8554461),0
560,1510.0,12.8554461,77.80967700000001,POINT (77.80967700000001 12.8554461),-1
561,1150.0,12.7924016,77.7792542,POINT (77.7792542 12.7924016),1
562,1250.0,12.7924016,77.7792542,POINT (77.7792542 12.7924016),0
563,1450.0,12.7924016,77.7792542,POINT (77.7792542 12.7924016),6
564,2480.0,12.7924016,77.7792542,POINT (77.7792542 12.7924016),2
565,630.1999999999999,12.9060634,77.5403467,POINT (77.5403467 12.9060634),-1
566,722.1999999999999,12.9060634,77.5403467,POINT (77.5403467 12.9060634),0
567,520.0,12.8759951,77.6421833,POINT (77.6421833 12.8759951),1
568,631.8000000000001,12.8759951,77.6421833,POINT (77.6421833 12.8759951),-5
569,,12.8842757,77.62795570000002,POINT (77.62795570000002 12.8842757),5
570,1150.0,12.8842757,77.62795570000002,POINT (77.62795570000002 12.8842757),-9
571,1400.0,12.8842757,77.62795570000002,POINT (77.62795570000002 12.8842757),-10
572,1540.0,12.8842757,77.62795570000002,POINT (77.62795570000002 12.8842757),-2
573,2400.0,12.895691699999999,77.67757540000001,POINT (77.67757540000001 12.8956917),7
574,842.6,12.9266782,77.6990608,POINT (77.6990608 12.9266782),1
575,1450.0,12.9266782,77.6990608,POINT (77.6990608 12.9266782),-5
576,541.8,12.884808,77.685152,POINT (77.685152 12.884808),6
577,791.6,12.884808,77.685152,POINT (77.685152 12.884808),4
578,387.5,12.8935672,77.6938473,POINT (77.6938473 12.8935672),6
579,639.6999999999999,12.8935672,77.6938473,POINT (77.6938473 12.8935672),4
580,845.6999999999999,12.8935672,77.6938473,POINT (77.6938473 12.8935672),7
581,470.4,12.8220091,77.6563314,POINT (77.6563314 12.8220091),7
582,720.3000000000001,12.8220091,77.6563314,POINT (77.6563314 12.8220091),-9
583,873.6,12.8220091,77.6563314,POINT (77.6563314 12.8220091),5
584,3200.0,12.8750421,77.54395509999998,POINT (77.54395509999998 12.8750421),5
585,3760.0,12.8750421,77.54395509999998,POINT (77.54395509999998 12.8750421),7
586,443.1,12.8810346,77.76020390000001,POINT (77.76020390000001 12.8810346),-4
587,650.0,12.8810346,77.76020390000001,POINT (77.76020390000001 12.8810346),8
588,249.60000000000002,12.838152599999999,77.8432415,POINT (77.8432415 12.8381526),-2
589,397.0,12.838152599999999,77.8432415,POINT (77.8432415 12.8381526),7
590,650.0,12.888817199999998,77.7683326,POINT (77.76833259999999 12.8888172),-7
591,650.0,12.888817199999998,77.7683326,POINT (77.76833259999999 12.8888172),-5
592,1300.0,12.888817199999998,77.7683326,POINT (77.76833259999999 12.8888172),-6
593,2100.0,12.888817199999998,77.7683326,POINT (77.76833259999999 12.8888172),0
594,479.7,12.986339599999999,77.6670031,POINT (77.6670031 12.9863396),1
595,550.0,12.966526400000001,77.6139089,POINT (77.6139089 12.9665264),-7
596,810.0,12.966526400000001,77.6139089,POINT (77.6139089 12.9665264),0
597,1050.0,12.966526400000001,77.6139089,POINT (77.6139089 12.9665264),-6
598,1310.0,12.887063099999999,77.45370779999998,POINT (77.45370779999998 12.8870631),-9
599,390.0,12.887063099999999,77.45370779999998,POINT (77.45370779999998 12.8870631),8
