Date,Holiday
"Jan 01, 2019",New Year's Day
"Jan 14, 2019",Makar Sankranti / Pongal
"Jan 26, 2019",Republic Day
"Mar 04, 2019",Maha Shivaratri
"Mar 21, 2019",Holi
"Apr 06, 2019",Ugadi / Gudi Padwa
"Apr 13, 2019",Ram Navami
"Apr 17, 2019",Mahavir Jayanti
"Apr 19, 2019",Good Friday
"May 01, 2019",Labor Day
"May 18, 2019",Budhha Purnima
"Jun 05, 2019",Eid-ul-Fitar
"Jul 04, 2019",Rath Yatra
"Aug 12, 2019",Bakri Id / Eid ul-Adha
"Aug 15, 2019",Raksha Bandhan
"Aug 15, 2019",Independence Day
"Aug 24, 2019",Janmashtami
"Sep 02, 2019",Vinayaka Chaturthi
"Sep 10, 2019",Muharram
"Sep 11, 2019",Onam
"Oct 02, 2019",Mathatma Gandhi Jayanti
"Oct 08, 2019",Dussehra / Dasara
"Oct 27, 2019",Diwali / Deepavali
"Nov 10, 2019",Milad un Nabi
"Nov 12, 2019",Guru Nanak's Birthday
"Dec 25, 2019",Christmas
