"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"42009000","Ward No.42","240","8,830","43,223","911","927","78.6","57.1","1,704"
"42009000","Ward No.43","220","11,015","59,933","918","943","68.2","55.1","2,119"
"42009000","Ward No.44","138","7,888","43,892","939","917","79.9","53.1","6,420"
"42009000","Ward No.45","398","8,675","40,821","923","924","80.3","58.4","1,383"
"42009000","Ward No.46","217","8,259","40,725","941","925","84.4","56.2","2,146"
"42009000","Ward No.47","47","6,118","32,938","828","936","88.1","62.0","1,049"
"42009000","Ward No.48","194","8,045","42,919","942","945","70.7","56.4","5,134"
"42009000","Ward No.49","174","9,477","41,075","941","929","89.5","57.3","1,096"
"42009000","Ward No.50","39","6,536","31,893","991","992","91.5","56.2","827"
"42009000","Ward No.51","108","9,700","39,484","951","921","93.1","57.3","506"
"42009000","Ward No.52","141","8,474","35,660","928","961","87.8","59.3","472"
"42009000","Ward No.53","128","14,887","62,163","916","977","90.0","58.0","343"
"42009000","Ward No.54","301","19,842","82,630","912","923","87.3","57.0","1,403"
"42009000","Ward No.55","485","26,810","1,12,407","912","961","85.5","58.6","2,748"
"42009000","Ward No.56","512","19,019","87,307","937","980","78.2","57.7","2,823"
"42009000","Ward No.57","367","14,941","63,906","928","964","88.5","55.5","2,067"
"42009000","Ward No.58","89","9,312","40,430","981","931","92.6","54.1","1,049"
"42009000","Ward No.59","58","7,931","34,613","960","950","91.4","56.7","656"
"42009000","Ward No.60","53","8,280","39,308","945","907","88.7","53.8","2,145"
"42009000","Ward No.61","94","8,024","39,505","935","950","78.8","57.0","2,063"
"42009000","Ward No.62","185","11,115","53,934","953","996","83.6","54.4","3,205"
"42009000","Ward No.63","328","10,630","48,979","884","933","85.6","57.9","3,411"
"42009000","Ward No.64","128","12,613","63,111","918","959","84.2","56.1","2,805"
"42009000","Ward No.65","174","12,244","51,545","865","927","89.4","60.4","1,637"
"42009000","Ward No.66","516","15,375","65,820","841","925","86.7","59.9","3,439"
"42009000","Ward No.67","256","10,244","45,929","912","973","85.1","57.8","3,456"
"42009000","Ward No.68","257","9,710","40,986","912","919","89.6","56.6","2,832"
